Name,Pre-treatment Type,Lamps Height (cm) - Pretreat,Pretreatment Cut Edges,Pretreatment Fans,Pretreatment Lamps,Pretreatment Exhaust,Pretreatment Speed,Pretreatment Pressure,Pretreatment Overfeed Ratio,Pretreatment Temperature,Pretreatment Width 1 (mm),Pretreatment Width 2 (mm),Pretreatment Width 3 (mm),Pretreatment Roll Final Width,Batcher Speed - Found Stenter - Pretreat
LN150,,,,,,,,,,,,,,,
CSL15,,,,,,,,,,,,,,,
CT310,,,,,,,,,,,,,,,
CP290,,,,,,,,,,,,,,,
GGT16,Silk,9.50,DO NOT CUT EDGES,ON,ON,OFF,6.00,40.00,97%,80.0,1470.0,1480.0,1490.0,1480,7.2
CHRST,Silk,9.50,DO NOT CUT EDGES,ON,ON,OFF,6.00,40.00,97%,80.0,1480.0,1510.0,1495.0,1560,7.2
CDCBM,Silk,9.50,DO NOT CUT EDGES,ON,ON,OFF,6.00,40.00,97%,80.0,1480.0,1490.0,1500.0,1500,7.2
LSG19,Silk,9.50,DO NOT CUT EDGES,ON,ON,OFF,6.00,40.00,97%,80.0,1480.0,1510.0,1495.0,1510,7.2
LSC19,Silk,9.50,DO NOT CUT EDGES,ON,ON,OFF,7.00,40.00,97%,80.0,1480.0,1510.0,1495.0,1510,7.2
CFT97,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,1.00,40.00,100%,120.0,1750.0,1760.0,1770.0,1700,7.2
CFTGR,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,2.00,40.00,95%,105.0,1730.0,1740.0,1750.0,1760,7.2
CTF19,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,2.00,40.00,95%,110.0,1763.0,1770.0,1790.0,1700,7.2
CTNPT,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,2.00,40.00,97%,105.0,1510.0,1520.0,1530.0,1570,7.2
CT406,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,2.00,40.00,97%,105.0,1660.0,1690.0,1680.0,1690,7.2
FBTRY,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,2.00,40.00,100%,105.0,1800.0,1820.0,1840.0,1730,7.2
PIQUE,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,2.00,40.00,100%,80.0,1490.0,1500.0,1510.0,1440,7.2
CTFLE,Cotton,,YES CUT EDGES,ON,ON,OFF,2.00,40.00,97%,105.0,1460.0,1470.0,1480.0,,
CTSFT,Cotton,,YES CUT EDGES,ON,ON,OFF,2.00,40.00,100%,80.0,1550.0,1560.0,1570.0,,
CTNBA,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,3.00,40.00,98%,80.0,1760.0,1770.0,1780.0,1700,7.2
CTNSP,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1800.0,1800.0,1800.0,1740,7.2
RYJHV,Cotton,,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,9000%,105.0,1750.0,1760.0,1770.0,,
CTN2J,Cotton,,YES CUT EDGES,ON,ON,OFF,3.00,40.00,98%,80.0,1450.0,1460.0,1470.0,,
CC254,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,80.0,1500.0,1510.0,1510.0,1550,7.2
LY115,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,80.0,1500.0,1510.0,1520.0,1500,7.2
TNCDO,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,80.0,1500.0,1510.0,1520.0,1550,7.2
WCTNS,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1800.0,1800.0,1800.0,1700,7.2
CTSPS,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,80.0,1520.0,1530.0,1540.0,1550,7.2
CLTWL,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1690.0,1700.0,1710.0,1730,7.2
OCTHR,Cotton,,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,98%,105.0,1600.0,1610.0,1630.0,,
STCAN,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,96%,105.0,1510.0,1520.0,1530.0,1560,7.2
OCFLN,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,96%,80.0,1490.0,1500.0,1510.0,1570,7.2
HC293,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1490.0,1500.0,1510.0,1540,7.2
MCTTW,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1500.0,1510.0,1520.0,1560,7.2
MCTST,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1650.0,1660.0,1670.0,1670,7.2
CC270,Cotton,,DO NOT CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1530.0,1540.0,1550.0,,
RYNSP,Cotton,,YES CUT EDGES,ON,ON,OFF,3.00,40.00,98%,80.0,1475.0,1485.0,1495.0,,
RYNFT,Cotton,,YES CUT EDGES,ON,ON,OFF,3.00,40.00,97%,105.0,1460.0,1470.0,1480.0,,
CTFLN,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1450.0,1470.0,1485.0,1500,7.2
CTNBJ,Cotton,,YES CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1455.0,1466.0,1479.0,,
CTNOX,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1460.0,1485.0,1455.0,1470,7.2
CTJ95,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,4.00,40.00,98%,80.0,1850.0,1880.0,1890.0,1700,7.2
CTBWC,Cotton,,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1430.0,1440.0,1450.0,,
ECVIC,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,98%,80.0,1375.0,1375.0,1375.0,1400,7.2
CT170,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,4.00,40.00,98%,80.0,1450.0,1460.0,1470.0,1370,7.2
CTSPR,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1520.0,1530.0,1540.0,1540,7.2
CUTWL,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1400.0,1400.0,1380.0,1480,7.2
COMCT,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1500.0,1510.0,1520.0,1550,7.2
SECTN,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1480.0,1490.0,1500.0,1540,7.2
TNSPJ,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,4.00,40.00,97%,80.0,1770.0,1780.0,1790.0,1750,7.2
OCTCJ,Cotton,9.50,YES CUT EDGES,ON,ON,OFF,4.00,40.00,98%,80.0,1500.0,1510.0,1520.0,1470,7.2
CT160,Cotton,,YES CUT EDGES,ON,ON,OFF,4.00,40.00,98%,80.0,1450.0,1460.0,1470.0,,
CTJRK,Cotton,,YES CUT EDGES,ON,ON,OFF,4.00,40.00,98%,80.0,1335.0,1345.0,1355.0,,
CTW70,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,97%,80.0,1520.0,1540.0,1560.0,1570,7.2
LTCSL,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,97%,80.0,1550.0,1560.0,1585.0,1580,7.2
RYJ01,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,97%,80.0,1770.0,1780.0,1790.0,1680,7.2
SLCTN,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,98%,80.0,1430.0,1435.0,1420.0,1450,7.2
LN135,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,97%,80.0,1431.0,1440.0,1451.0,1460,7.2
LY100,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,97%,80.0,1540.0,1550.0,1550.0,1530,7.2
OC135,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,97%,80.0,1540.0,1550.0,1560.0,1530,7.2
HM122,Cotton,,DO NOT CUT EDGES,,ON,OFF,5.00,40.00,,80.0,1410.0,1420.0,1430.0,,
PIMA7,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,5.00,40.00,97%,80.0,1530.0,1540.0,1550.0,1570,7.2
VICST,Cotton,,DO NOT CUT EDGES,ON,ON,OFF,6.00,40.00,98%,80.0,1470.0,1480.0,1490.0,,
OCT70,Cotton,9.50,DO NOT CUT EDGES,ON,ON,OFF,6.00,40.00,97%,80.0,1440.0,1450.0,1460.0,1500,7.2